ticket_id,category,priority,status,summary,issue,resolution,assignment_group,source,created_at,resolved_at,sla_target_hours,actual_resolution_hours,sla_breached
INC10052,identity,P3,Resolved,SSO redirect loop on claims portal,UPN suffix mismatch after domain migration,"Switched MFA delivery to TOTP app, removed SMS fallback",Desktop-Support,ServiceNow,2026-01-01T12:55:13,2026-01-02T09:13:13,24,20.3,FALSE
INC10095,application,P3,Resolved,Policy upload timing out on large files,Blob storage SAS token expiry not handled gracefully,"Increased app pool recycling interval to 4h, added warm-up script",Desktop-Support,ServiceNow,2026-01-02T07:51:49,2026-01-02T14:21:49,24,6.5,FALSE
INC10173,network,P1,Resolved,BGP route advertisement issue,Phase-2 IPsec proposal mismatch causing tunnel reset,Aligned MTU to 1400 bytes on MPLS edge router,App-Support,ServiceNow,2026-01-02T20:16:56,2026-01-02T23:34:56,4,3.3,FALSE
INC10119,network,P1,Resolved,Site-to-site tunnel flapping,STP topology change flooding broadcast domain,Updated ACL to permit required subnet with audit log,Desktop-Support,ServiceNow,2026-01-04T14:42:37,2026-01-04T17:00:37,4,2.3,FALSE
INC10044,application,P4,Resolved,Database connection pool exhausted,Blob storage SAS token expiry not handled gracefully,Updated API gateway CORS allowlist with verified origins,IAM-Team,ServiceNow,2026-01-04T17:08:44,2026-01-10T11:44:44,72,138.6,TRUE
INC10068,security,P3,Resolved,Vulnerability scanner flagging CVE on web server,Credential reuse from compromised third-party site,Tuned SOC alert threshold and added suppression for known IPs,DBA-Team,ServiceNow,2026-01-04T23:41:52,2026-01-05T12:11:52,24,12.5,FALSE
INC10100,identity,P4,Resolved,MFA enrollment failure for new hires,UPN suffix mismatch after domain migration,"Switched MFA delivery to TOTP app, removed SMS fallback",Service-Desk,ServiceNow,2026-01-05T05:42:20,2026-01-06T21:36:20,72,39.9,FALSE
INC10027,network,P3,Resolved,Switch port showing CRC errors,Phase-2 IPsec proposal mismatch causing tunnel reset,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Service-Desk,ServiceNow,2026-01-06T16:16:33,2026-01-07T06:52:33,24,14.6,FALSE
INC10012,security,P3,Resolved,Data loss prevention alert on email attachment,SOC alert threshold too low causing false positive storm,Renewed certificate via ACME and added renewal alert at 30d,Network-Ops,ServiceNow,2026-01-07T04:01:49,2026-01-07T19:31:49,24,15.5,FALSE
INC10009,security,P3,Resolved,Vulnerability scanner flagging CVE on web server,Phishing kit using homograph domain,Removed public-read ACL and enabled access logging on bucket,Cloud-Infra,ServiceNow,2026-01-07T10:13:50,2026-01-10T07:37:50,24,69.4,TRUE
INC10017,network,P3,Resolved,Network latency spike on corporate LAN,STP topology change flooding broadcast domain,Increased NAT translation table to 65k entries,Desktop-Support,ServiceNow,2026-01-07T17:16:36,2026-01-08T07:40:36,24,14.4,FALSE
INC10024,identity,P2,Resolved,SSO redirect loop on claims portal,Stale federation metadata not updated after cert rotation,Forced token cache flush via PowerShell + re-enrollment,Network-Ops,ServiceNow,2026-01-08T07:39:34,2026-01-08T14:27:34,8,6.8,FALSE
INC10171,application,P1,Resolved,Policy upload timing out on large files,Redis cache eviction under memory pressure,Refactored synchronous DB calls to async with connection pooling,Desktop-Support,ServiceNow,2026-01-08T22:09:16,2026-01-08T23:03:16,4,0.9,FALSE
INC10071,identity,P2,Resolved,Service account expired — breaking automated jobs,Token cache not cleared after password change,Forced token cache flush via PowerShell + re-enrollment,Cloud-Infra,ServiceNow,2026-01-09T09:56:21,2026-01-09T14:14:21,8,4.3,FALSE
INC10004,identity,P4,Resolved,Federation metadata stale — causing auth failures,Token cache not cleared after password change,Enabled LDAP referral chasing in directory sync config,Network-Ops,ServiceNow,2026-01-10T22:10:01,2026-01-14T18:34:01,72,92.4,TRUE
INC10079,application,P4,Resolved,Bulk export job crashing at 50k rows,Blob storage SAS token expiry not handled gracefully,Implemented SAS token rotation with 15-minute overlap window,DBA-Team,ServiceNow,2026-01-10T23:02:47,2026-01-12T20:26:47,72,45.4,FALSE
INC10023,security,P4,Resolved,Data loss prevention alert on email attachment,Phishing kit using homograph domain,Removed public-read ACL and enabled access logging on bucket,Desktop-Support,ServiceNow,2026-01-11T14:36:55,2026-01-15T23:48:55,72,105.2,TRUE
INC10034,database,P2,Resolved,Replication lag exceeding 30 minutes,Replication subscriber falling behind due to locking contention,"Reduced replication article count, filtered non-critical tables",App-Support,ServiceNow,2026-01-12T04:58:05,2026-01-12T11:04:05,8,6.1,FALSE
INC10029,application,P2,Resolved,Claims portal returning 502 after deploy,CORS origin mismatch after frontend domain change,"Increased app pool recycling interval to 4h, added warm-up script",Cloud-Infra,ServiceNow,2026-01-12T15:21:21,2026-01-12T20:21:21,8,5.0,FALSE
INC10019,device,P3,Resolved,Laptop cannot connect to Wi-Fi after update,Registry key missing after OS reimaging,Deployed registry fix via Group Policy Preferences,App-Support,ServiceNow,2026-01-12T17:57:36,2026-01-12T23:57:36,24,6.0,FALSE
INC10174,device,P1,Resolved,Screen flickering on docking station,Windows update KB5034441 incompatible with recovery partition,Applied safe-OS update workaround per MS KB5034441,Service-Desk,ServiceNow,2026-01-12T19:55:38,2026-01-13T03:31:38,4,7.6,TRUE
INC10127,identity,P3,Resolved,MFA enrollment failure for new hires,Token cache not cleared after password change,Refreshed federation metadata XML and restarted ADFS service,IAM-Team,ServiceNow,2026-01-13T04:35:47,2026-01-14T09:23:47,24,28.8,TRUE
INC10140,identity,P1,Resolved,MFA enrollment failure for new hires,UPN suffix mismatch after domain migration,Added alternate UPN suffix and resynced affected accounts,DBA-Team,ServiceNow,2026-01-13T08:55:46,2026-01-13T11:19:46,4,2.4,FALSE
INC10129,identity,P3,Resolved,MFA enrollment failure for new hires,UPN suffix mismatch after domain migration,Refreshed federation metadata XML and restarted ADFS service,Service-Desk,ServiceNow,2026-01-13T09:04:23,2026-01-15T09:16:23,24,48.2,TRUE
INC10142,identity,P3,Resolved,MFA enrollment failure for new hires,UPN suffix mismatch after domain migration,Forced token cache flush via PowerShell + re-enrollment,Service-Desk,ServiceNow,2026-01-13T14:29:39,2026-01-14T00:11:39,24,9.7,FALSE
INC10132,identity,P1,Resolved,Password reset not working for contractor accounts,UPN suffix mismatch after domain migration,Added alternate UPN suffix and resynced affected accounts,App-Support,ServiceNow,2026-01-14T09:19:31,2026-01-14T12:07:31,4,2.8,FALSE
INC10011,identity,P4,Resolved,User locked out after MFA failure loop,Stale federation metadata not updated after cert rotation,"Switched MFA delivery to TOTP app, removed SMS fallback",Desktop-Support,ServiceNow,2026-01-14T10:20:10,2026-01-15T05:38:10,72,19.3,FALSE
INC10057,identity,P3,Resolved,LDAP sync not reflecting group changes,MFA token delivery delay exceeding 30s timeout,Refreshed federation metadata XML and restarted ADFS service,Cloud-Infra,ServiceNow,2026-01-14T10:26:05,2026-01-16T06:20:05,24,43.9,TRUE
INC10123,identity,P2,Resolved,SSO redirect loop on claims portal,MFA token delivery delay exceeding 30s timeout,Forced token cache flush via PowerShell + re-enrollment,Network-Ops,ServiceNow,2026-01-14T11:34:53,2026-01-14T18:04:53,8,6.5,FALSE
INC10145,identity,P4,Resolved,SSO redirect loop on claims portal,Stale federation metadata not updated after cert rotation,Added alternate UPN suffix and resynced affected accounts,Cloud-Infra,ServiceNow,2026-01-14T15:58:21,2026-01-15T21:58:21,72,30.0,FALSE
INC10134,identity,P2,Resolved,SSO redirect loop on claims portal,Stale federation metadata not updated after cert rotation,Refreshed federation metadata XML and restarted ADFS service,Cloud-Infra,ServiceNow,2026-01-14T20:27:33,2026-01-15T00:51:33,8,4.4,FALSE
INC10010,database,P3,Resolved,Dead lock in claims processing workflow,Connection string pointing to old endpoint post-failover,Scheduled AUTO_UPDATE_STATISTICS after ETL jobs complete,Cloud-Infra,ServiceNow,2026-01-14T20:54:53,2026-01-15T06:06:53,24,9.2,FALSE
INC10126,identity,P3,Resolved,LDAP sync not reflecting group changes,Stale federation metadata not updated after cert rotation,Enabled LDAP referral chasing in directory sync config,App-Support,ServiceNow,2026-01-15T02:49:33,2026-01-17T20:43:33,24,65.9,TRUE
INC10086,network,P2,Resolved,Site-to-site tunnel flapping,Phase-2 IPsec proposal mismatch causing tunnel reset,Cleared STP topology by disabling portfast on trunk ports,Security-Ops,ServiceNow,2026-01-15T11:10:13,2026-01-15T17:46:13,8,6.6,FALSE
INC10143,identity,P2,Resolved,MFA enrollment failure for new hires,Stale federation metadata not updated after cert rotation,Enabled LDAP referral chasing in directory sync config,Service-Desk,ServiceNow,2026-01-15T14:47:20,2026-01-15T17:05:20,8,2.3,FALSE
INC10125,identity,P3,Resolved,User locked out after MFA failure loop,LDAP referral chasing disabled causing sync gap,"Switched MFA delivery to TOTP app, removed SMS fallback",Desktop-Support,ServiceNow,2026-01-15T19:51:56,2026-01-16T03:21:56,24,7.5,FALSE
INC10028,device,P4,Resolved,VPN client not installing on macOS Sonoma,Windows update KB5034441 incompatible with recovery partition,Deployed registry fix via Group Policy Preferences,IAM-Team,ServiceNow,2026-01-16T06:50:41,2026-01-22T11:32:41,72,148.7,TRUE
INC10138,identity,P2,Resolved,User locked out after MFA failure loop,Token cache not cleared after password change,Enabled LDAP referral chasing in directory sync config,Network-Ops,ServiceNow,2026-01-16T09:08:19,2026-01-16T15:32:19,8,6.4,FALSE
INC10121,identity,P3,Resolved,Service account expired — breaking automated jobs,UPN suffix mismatch after domain migration,"Switched MFA delivery to TOTP app, removed SMS fallback",DBA-Team,ServiceNow,2026-01-16T09:28:48,2026-01-18T04:46:48,24,43.3,TRUE
INC10144,identity,P3,Resolved,User locked out after MFA failure loop,Stale federation metadata not updated after cert rotation,"Switched MFA delivery to TOTP app, removed SMS fallback",Security-Ops,ServiceNow,2026-01-16T17:50:01,2026-01-18T14:14:01,24,44.4,TRUE
INC10139,identity,P2,Resolved,LDAP sync not reflecting group changes,MFA token delivery delay exceeding 30s timeout,Forced token cache flush via PowerShell + re-enrollment,Cloud-Infra,ServiceNow,2026-01-16T17:59:53,2026-01-16T21:41:53,8,3.7,FALSE
INC10141,identity,P2,Resolved,SSO redirect loop on claims portal,Stale federation metadata not updated after cert rotation,"Switched MFA delivery to TOTP app, removed SMS fallback",Desktop-Support,ServiceNow,2026-01-16T18:46:15,2026-01-17T01:04:15,8,6.3,FALSE
INC10124,identity,P1,Resolved,Password reset not working for contractor accounts,Stale federation metadata not updated after cert rotation,Forced token cache flush via PowerShell + re-enrollment,App-Support,ServiceNow,2026-01-17T01:08:29,2026-01-17T02:20:29,4,1.2,FALSE
INC10128,identity,P3,Resolved,Password reset not working for contractor accounts,Token cache not cleared after password change,Refreshed federation metadata XML and restarted ADFS service,Security-Ops,ServiceNow,2026-01-17T09:27:05,2026-01-17T16:15:05,24,6.8,FALSE
INC10122,identity,P1,Resolved,Federation metadata stale — causing auth failures,Stale federation metadata not updated after cert rotation,Added alternate UPN suffix and resynced affected accounts,Security-Ops,ServiceNow,2026-01-17T10:59:38,2026-01-17T14:41:38,4,3.7,FALSE
INC10135,identity,P1,Resolved,Federation metadata stale — causing auth failures,Stale federation metadata not updated after cert rotation,Added alternate UPN suffix and resynced affected accounts,DBA-Team,ServiceNow,2026-01-17T12:32:28,2026-01-17T15:02:28,4,2.5,FALSE
INC10136,identity,P4,Resolved,AD account disabled despite active status,Token cache not cleared after password change,Enabled LDAP referral chasing in directory sync config,DBA-Team,ServiceNow,2026-01-18T03:11:21,2026-01-20T08:29:21,72,53.3,FALSE
INC10130,identity,P3,Resolved,LDAP sync not reflecting group changes,Stale federation metadata not updated after cert rotation,"Switched MFA delivery to TOTP app, removed SMS fallback",Security-Ops,ServiceNow,2026-01-18T09:11:48,2026-01-19T15:17:48,24,30.1,TRUE
INC10133,identity,P2,Resolved,Federation metadata stale — causing auth failures,UPN suffix mismatch after domain migration,Enabled LDAP referral chasing in directory sync config,Security-Ops,ServiceNow,2026-01-18T12:05:28,2026-01-18T18:05:28,8,6.0,FALSE
INC10137,identity,P2,Resolved,Password reset not working for contractor accounts,Stale federation metadata not updated after cert rotation,Enabled LDAP referral chasing in directory sync config,DBA-Team,ServiceNow,2026-01-19T03:47:40,2026-01-19T09:17:40,8,5.5,FALSE
INC10073,application,P3,Resolved,Bulk export job crashing at 50k rows,CORS origin mismatch after frontend domain change,Refactored synchronous DB calls to async with connection pooling,Service-Desk,ServiceNow,2026-01-19T13:11:37,2026-01-22T00:23:37,24,59.2,TRUE
INC10131,identity,P3,Resolved,AD account disabled despite active status,UPN suffix mismatch after domain migration,Forced token cache flush via PowerShell + re-enrollment,Cloud-Infra,ServiceNow,2026-01-19T15:43:13,2026-01-20T03:25:13,24,11.7,FALSE
INC10076,identity,P2,Resolved,LDAP sync not reflecting group changes,MFA token delivery delay exceeding 30s timeout,"Switched MFA delivery to TOTP app, removed SMS fallback",Service-Desk,ServiceNow,2026-01-19T16:45:14,2026-01-19T22:51:14,8,6.1,FALSE
INC10015,security,P3,Resolved,Suspicious login from unusual geolocation,SOC alert threshold too low causing false positive storm,Renewed certificate via ACME and added renewal alert at 30d,Service-Desk,ServiceNow,2026-01-20T07:29:47,2026-01-22T20:41:47,24,61.2,TRUE
INC10042,security,P4,Resolved,Vulnerability scanner flagging CVE on web server,Certificate not renewed due to expired ACME account,"Forced password reset + MFA re-enrollment, blocked IP range",Security-Ops,ServiceNow,2026-01-22T15:26:58,2026-01-27T01:02:58,72,105.6,TRUE
INC10002,network,P2,Resolved,Firewall blocking internal traffic,Misconfigured ACL blocking internal subnet,Increased NAT translation table to 65k entries,App-Support,ServiceNow,2026-01-23T14:08:21,2026-01-23T15:56:21,8,1.8,FALSE
INC10050,network,P4,Resolved,Firewall blocking internal traffic,STP topology change flooding broadcast domain,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Network-Ops,ServiceNow,2026-01-23T19:17:00,2026-01-24T21:47:00,72,26.5,FALSE
INC10109,application,P3,Resolved,Session timeout too aggressive,Blob storage SAS token expiry not handled gracefully,"Increased app pool recycling interval to 4h, added warm-up script",App-Support,ServiceNow,2026-01-25T06:46:15,2026-01-25T16:58:15,24,10.2,FALSE
INC10063,security,P4,Resolved,Suspicious login from unusual geolocation,Certificate not renewed due to expired ACME account,Blocked homograph domain at DNS and email gateway,IAM-Team,ServiceNow,2026-01-25T11:50:06,2026-01-27T03:38:06,72,39.8,FALSE
INC10045,device,P3,Resolved,Printer driver causing device manager crash,Certificate trust chain broken after root CA renewal,Added driver signing exception in Intune policy profile,IAM-Team,ServiceNow,2026-01-25T17:32:47,2026-01-27T15:50:47,24,46.3,TRUE
INC10062,database,P2,Resolved,Storage threshold reached on primary DB,Replication subscriber falling behind due to locking contention,Scheduled AUTO_UPDATE_STATISTICS after ETL jobs complete,Security-Ops,ServiceNow,2026-01-26T06:12:29,2026-01-26T09:06:29,8,2.9,FALSE
INC10117,identity,P4,Resolved,Federation metadata stale — causing auth failures,Stale federation metadata not updated after cert rotation,"Switched MFA delivery to TOTP app, removed SMS fallback",Service-Desk,ServiceNow,2026-01-26T10:52:49,2026-01-28T21:40:49,72,58.8,FALSE
INC10032,network,P2,Resolved,Site-to-site tunnel flapping,STP topology change flooding broadcast domain,Aligned MTU to 1400 bytes on MPLS edge router,Security-Ops,ServiceNow,2026-01-26T17:57:42,2026-01-26T21:39:42,8,3.7,FALSE
INC10070,security,P4,Resolved,Data loss prevention alert on email attachment,S3 bucket public-read ACL left from dev environment,Removed public-read ACL and enabled access logging on bucket,Security-Ops,ServiceNow,2026-01-27T05:20:15,2026-01-29T21:26:15,72,64.1,FALSE
INC10001,application,P1,Resolved,Policy upload timing out on large files,CORS origin mismatch after frontend domain change,"Increased app pool recycling interval to 4h, added warm-up script",Cloud-Infra,ServiceNow,2026-01-27T16:51:53,2026-01-27T18:03:53,4,1.2,FALSE
INC10172,network,P1,Resolved,Network latency spike on corporate LAN,NAT translation table overflow during peak hours,Increased NAT translation table to 65k entries,Network-Ops,ServiceNow,2026-01-28T20:28:38,2026-01-28T22:40:38,4,2.2,FALSE
INC10108,database,P3,Resolved,Backup job failing silently,Replication subscriber falling behind due to locking contention,Updated connection string in all services and restarted dependents,Security-Ops,ServiceNow,2026-01-28T22:13:49,2026-01-29T05:49:49,24,7.6,FALSE
INC10094,identity,P2,Resolved,SSO redirect loop on claims portal,Stale federation metadata not updated after cert rotation,Forced token cache flush via PowerShell + re-enrollment,App-Support,ServiceNow,2026-01-28T23:09:23,2026-01-29T04:57:23,8,5.8,FALSE
INC10087,application,P4,Resolved,API gateway 429 during business hours,Blob storage SAS token expiry not handled gracefully,Increased Redis maxmemory and switched to allkeys-lru policy,Service-Desk,ServiceNow,2026-01-29T00:30:41,2026-01-30T16:12:41,72,39.7,FALSE
INC10006,network,P2,Resolved,Site-to-site tunnel flapping,NAT translation table overflow during peak hours,Aligned MTU to 1400 bytes on MPLS edge router,Service-Desk,ServiceNow,2026-01-29T02:19:22,2026-01-29T09:01:22,8,6.7,FALSE
INC10110,device,P3,Resolved,USB ports disabled by policy blocking peripherals,Certificate trust chain broken after root CA renewal,Applied safe-OS update workaround per MS KB5034441,Network-Ops,ServiceNow,2026-01-29T17:25:57,2026-01-30T03:31:57,24,10.1,FALSE
INC10059,device,P4,Resolved,USB ports disabled by policy blocking peripherals,Registry key missing after OS reimaging,Deployed registry fix via Group Policy Preferences,App-Support,ServiceNow,2026-01-29T23:49:04,2026-02-01T12:19:04,72,60.5,FALSE
INC10081,network,P4,Resolved,BGP route advertisement issue,Misconfigured ACL blocking internal subnet,Updated ACL to permit required subnet with audit log,App-Support,ServiceNow,2026-01-30T11:59:17,2026-02-04T05:11:17,72,113.2,TRUE
INC10048,device,P4,Resolved,Device compliance check failing in Intune,Driver signing enforcement blocking third-party VPN,Added driver signing exception in Intune policy profile,Service-Desk,ServiceNow,2026-01-30T12:04:47,2026-02-05T06:04:47,72,138.0,TRUE
INC10066,security,P2,Resolved,Privileged account used outside maintenance window,SOC alert threshold too low causing false positive storm,Removed public-read ACL and enabled access logging on bucket,Cloud-Infra,ServiceNow,2026-01-31T04:46:23,2026-01-31T13:58:23,8,9.2,TRUE
INC10030,application,P3,Resolved,Database connection pool exhausted,Thread pool starvation from synchronous database calls,Increased Redis maxmemory and switched to allkeys-lru policy,Cloud-Infra,ServiceNow,2026-01-31T17:11:42,2026-02-01T01:41:42,24,8.5,FALSE
INC10072,identity,P3,Resolved,AD account disabled despite active status,LDAP referral chasing disabled causing sync gap,Enabled LDAP referral chasing in directory sync config,Security-Ops,ServiceNow,2026-02-01T13:20:16,2026-02-03T01:26:16,24,36.1,TRUE
INC10036,security,P1,Resolved,Privileged account used outside maintenance window,Phishing kit using homograph domain,Removed public-read ACL and enabled access logging on bucket,Cloud-Infra,ServiceNow,2026-02-02T09:14:35,2026-02-02T11:56:35,4,2.7,FALSE
INC10180,security,P1,Resolved,Data loss prevention alert on email attachment,S3 bucket public-read ACL left from dev environment,Blocked homograph domain at DNS and email gateway,Desktop-Support,ServiceNow,2026-02-02T20:52:20,2026-02-02T22:10:20,4,1.3,FALSE
INC10162,network,P2,Resolved,Firewall blocking internal traffic,MTU mismatch between MPLS and local LAN,Increased NAT translation table to 65k entries,App-Support,ServiceNow,2026-02-03T05:18:36,2026-02-03T08:00:36,8,2.7,FALSE
INC10168,network,P3,Resolved,Site-to-site tunnel flapping,Misconfigured ACL blocking internal subnet,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Security-Ops,ServiceNow,2026-02-03T15:11:54,2026-02-04T11:41:54,24,20.5,FALSE
INC10164,network,P3,Resolved,Network latency spike on corporate LAN,Misconfigured ACL blocking internal subnet,Cleared STP topology by disabling portfast on trunk ports,Service-Desk,ServiceNow,2026-02-04T14:10:14,2026-02-04T21:46:14,24,7.6,FALSE
INC10163,network,P2,Resolved,Site-to-site tunnel flapping,Misconfigured ACL blocking internal subnet,Updated ACL to permit required subnet with audit log,Network-Ops,ServiceNow,2026-02-04T16:04:07,2026-02-04T19:28:07,8,3.4,FALSE
INC10151,network,P2,Resolved,Network latency spike on corporate LAN,Phase-2 IPsec proposal mismatch causing tunnel reset,Cleared STP topology by disabling portfast on trunk ports,Service-Desk,ServiceNow,2026-02-04T18:39:17,2026-02-04T21:15:17,8,2.6,FALSE
INC10169,network,P1,Resolved,Network latency spike on corporate LAN,NAT translation table overflow during peak hours,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,App-Support,ServiceNow,2026-02-04T22:41:39,2026-02-05T02:11:39,4,3.5,FALSE
INC10150,network,P2,Resolved,Firewall blocking internal traffic,MTU mismatch between MPLS and local LAN,Aligned MTU to 1400 bytes on MPLS edge router,Desktop-Support,ServiceNow,2026-02-05T00:58:19,2026-02-05T19:22:19,8,18.4,TRUE
INC10157,network,P2,Resolved,Load balancer health check failures,Misconfigured ACL blocking internal subnet,Updated ACL to permit required subnet with audit log,Desktop-Support,ServiceNow,2026-02-05T02:15:41,2026-02-05T21:51:41,8,19.6,TRUE
INC10038,device,P1,Resolved,Laptop cannot connect to Wi-Fi after update,Certificate trust chain broken after root CA renewal,Created policy exclusion for compliant legacy hardware group,App-Support,ServiceNow,2026-02-05T09:41:58,2026-02-05T12:53:58,4,3.2,FALSE
INC10113,security,P1,Resolved,Privileged account used outside maintenance window,Certificate not renewed due to expired ACME account,Removed public-read ACL and enabled access logging on bucket,Desktop-Support,ServiceNow,2026-02-05T10:11:17,2026-02-05T11:17:17,4,1.1,FALSE
