ticket_id,category,priority,status,summary,issue,resolution,assignment_group,source,created_at,resolved_at,sla_target_hours,actual_resolution_hours,sla_breached
INC10116,database,P4,Resolved,Dead lock in claims processing workflow,Connection string pointing to old endpoint post-failover,"Added covering index on filter column, rebuilding statistics nightly",Service-Desk,ServiceNow,2026-02-05T12:19:03,2026-02-11T01:31:03,72,133.2,TRUE
INC10166,network,P2,Resolved,Load balancer health check failures,STP topology change flooding broadcast domain,Aligned MTU to 1400 bytes on MPLS edge router,Service-Desk,ServiceNow,2026-02-05T21:39:46,2026-02-06T04:09:46,8,6.5,FALSE
INC10007,application,P3,Resolved,Policy upload timing out on large files,CORS origin mismatch after frontend domain change,Refactored synchronous DB calls to async with connection pooling,App-Support,ServiceNow,2026-02-05T22:35:03,2026-02-06T15:29:03,24,16.9,FALSE
INC10149,network,P3,Resolved,Site-to-site tunnel flapping,NAT translation table overflow during peak hours,Aligned MTU to 1400 bytes on MPLS edge router,DBA-Team,ServiceNow,2026-02-05T22:52:15,2026-02-06T10:52:15,24,12.0,FALSE
INC10167,network,P2,Resolved,BGP route advertisement issue,STP topology change flooding broadcast domain,Cleared STP topology by disabling portfast on trunk ports,Desktop-Support,ServiceNow,2026-02-06T10:04:19,2026-02-06T14:40:19,8,4.6,FALSE
INC10158,network,P2,Resolved,VPN connection dropping intermittently,MTU mismatch between MPLS and local LAN,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,DBA-Team,ServiceNow,2026-02-06T10:23:55,2026-02-06T16:35:55,8,6.2,FALSE
INC10005,security,P3,Resolved,Vulnerability scanner flagging CVE on web server,SOC alert threshold too low causing false positive storm,Blocked homograph domain at DNS and email gateway,IAM-Team,ServiceNow,2026-02-06T18:02:56,2026-02-08T09:50:56,24,39.8,TRUE
INC10160,network,P4,Resolved,BGP route advertisement issue,STP topology change flooding broadcast domain,Updated ACL to permit required subnet with audit log,IAM-Team,ServiceNow,2026-02-06T18:21:41,2026-02-08T22:27:41,72,52.1,FALSE
INC10170,network,P3,Resolved,BGP route advertisement issue,Misconfigured ACL blocking internal subnet,Aligned MTU to 1400 bytes on MPLS edge router,App-Support,ServiceNow,2026-02-07T05:49:26,2026-02-07T18:07:26,24,12.3,FALSE
INC10165,network,P1,Resolved,Load balancer health check failures,Misconfigured ACL blocking internal subnet,Aligned MTU to 1400 bytes on MPLS edge router,Service-Desk,ServiceNow,2026-02-07T10:06:35,2026-02-07T11:36:35,4,1.5,FALSE
INC10178,database,P1,Resolved,Slow query degrading reporting performance,Replication subscriber falling behind due to locking contention,"Added covering index on filter column, rebuilding statistics nightly",DBA-Team,ServiceNow,2026-02-07T13:29:55,2026-02-07T15:05:55,4,1.6,FALSE
INC10161,network,P2,Resolved,Network latency spike on corporate LAN,Misconfigured ACL blocking internal subnet,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Cloud-Infra,ServiceNow,2026-02-07T13:42:56,2026-02-07T17:18:56,8,3.6,FALSE
INC10146,network,P1,Resolved,Switch port showing CRC errors,Phase-2 IPsec proposal mismatch causing tunnel reset,Increased NAT translation table to 65k entries,Network-Ops,ServiceNow,2026-02-07T14:44:36,2026-02-07T16:14:36,4,1.5,FALSE
INC10159,network,P1,Resolved,Network latency spike on corporate LAN,MTU mismatch between MPLS and local LAN,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Desktop-Support,ServiceNow,2026-02-07T16:35:41,2026-02-07T19:35:41,4,3.0,FALSE
INC10026,network,P1,Resolved,Load balancer health check failures,MTU mismatch between MPLS and local LAN,Increased NAT translation table to 65k entries,Service-Desk,ServiceNow,2026-02-07T21:44:55,2026-02-08T00:56:55,4,3.2,FALSE
INC10148,network,P2,Resolved,Load balancer health check failures,MTU mismatch between MPLS and local LAN,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Cloud-Infra,ServiceNow,2026-02-07T21:58:27,2026-02-08T11:40:27,8,13.7,TRUE
INC10153,network,P1,Resolved,VPN connection dropping intermittently,MTU mismatch between MPLS and local LAN,Updated ACL to permit required subnet with audit log,IAM-Team,ServiceNow,2026-02-08T08:48:08,2026-02-08T12:00:08,4,3.2,FALSE
INC10154,network,P2,Resolved,DNS resolution failure for internal hosts,Phase-2 IPsec proposal mismatch causing tunnel reset,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Cloud-Infra,ServiceNow,2026-02-08T11:37:46,2026-02-09T02:01:46,8,14.4,TRUE
INC10147,network,P2,Resolved,BGP route advertisement issue,Misconfigured ACL blocking internal subnet,Increased NAT translation table to 65k entries,Cloud-Infra,ServiceNow,2026-02-08T13:54:47,2026-02-08T20:42:47,8,6.8,FALSE
INC10156,network,P2,Resolved,Load balancer health check failures,Phase-2 IPsec proposal mismatch causing tunnel reset,Aligned MTU to 1400 bytes on MPLS edge router,IAM-Team,ServiceNow,2026-02-08T18:32:13,2026-02-09T01:50:13,8,7.3,FALSE
INC10084,application,P2,Resolved,API gateway 429 during business hours,App pool recycling mid-request under load,Refactored synchronous DB calls to async with connection pooling,Security-Ops,ServiceNow,2026-02-09T15:54:53,2026-02-09T21:06:53,8,5.2,FALSE
INC10155,network,P2,Resolved,VPN connection dropping intermittently,NAT translation table overflow during peak hours,Updated ACL to permit required subnet with audit log,App-Support,ServiceNow,2026-02-09T17:27:22,2026-02-09T23:27:22,8,6.0,FALSE
INC10152,network,P2,Resolved,Switch port showing CRC errors,MTU mismatch between MPLS and local LAN,Cleared STP topology by disabling portfast on trunk ports,Service-Desk,ServiceNow,2026-02-09T20:11:59,2026-02-10T00:29:59,8,4.3,FALSE
INC10106,device,P2,Resolved,VPN client not installing on macOS Sonoma,Intune compliance policy conflict with local GPO,Applied safe-OS update workaround per MS KB5034441,Cloud-Infra,ServiceNow,2026-02-10T00:09:00,2026-02-10T06:33:00,8,6.4,FALSE
INC10093,application,P3,Resolved,Bulk export job crashing at 50k rows,Blob storage SAS token expiry not handled gracefully,"Increased app pool recycling interval to 4h, added warm-up script",App-Support,ServiceNow,2026-02-10T02:56:11,2026-02-12T04:56:11,24,50.0,TRUE
INC10058,device,P3,Resolved,USB ports disabled by policy blocking peripherals,Registry key missing after OS reimaging,Applied safe-OS update workaround per MS KB5034441,Cloud-Infra,ServiceNow,2026-02-10T08:49:27,2026-02-13T01:13:27,24,64.4,TRUE
INC10018,identity,P4,Resolved,Password reset not working for contractor accounts,LDAP referral chasing disabled causing sync gap,Added alternate UPN suffix and resynced affected accounts,DBA-Team,ServiceNow,2026-02-11T01:58:58,2026-02-13T18:34:58,72,64.6,FALSE
INC10075,device,P3,Resolved,Device compliance check failing in Intune,Driver signing enforcement blocking third-party VPN,Re-issued certificates from renewed root CA and pushed via SCCM,Security-Ops,ServiceNow,2026-02-11T07:29:44,2026-02-11T22:11:44,24,14.7,FALSE
INC10022,network,P2,Resolved,VPN connection dropping intermittently,Phase-2 IPsec proposal mismatch causing tunnel reset,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Cloud-Infra,ServiceNow,2026-02-11T20:25:19,2026-02-12T00:31:19,8,4.1,FALSE
INC10085,application,P4,Resolved,API gateway 429 during business hours,CORS origin mismatch after frontend domain change,Refactored synchronous DB calls to async with connection pooling,Cloud-Infra,ServiceNow,2026-02-14T01:58:10,2026-02-18T17:04:10,72,111.1,TRUE
INC10092,security,P3,Resolved,Phishing email clicked — endpoint isolation needed,S3 bucket public-read ACL left from dev environment,Tuned SOC alert threshold and added suppression for known IPs,Network-Ops,ServiceNow,2026-02-14T03:49:16,2026-02-15T17:43:16,24,37.9,TRUE
INC10031,network,P3,Resolved,Site-to-site tunnel flapping,Phase-2 IPsec proposal mismatch causing tunnel reset,Increased NAT translation table to 65k entries,IAM-Team,ServiceNow,2026-02-14T09:24:37,2026-02-15T03:42:37,24,18.3,FALSE
INC10053,security,P3,Resolved,Phishing email clicked — endpoint isolation needed,S3 bucket public-read ACL left from dev environment,Blocked homograph domain at DNS and email gateway,Service-Desk,ServiceNow,2026-02-15T02:28:46,2026-02-16T16:16:46,24,37.8,TRUE
INC10060,device,P3,Resolved,USB ports disabled by policy blocking peripherals,Intune compliance policy conflict with local GPO,Added driver signing exception in Intune policy profile,Desktop-Support,ServiceNow,2026-02-17T03:37:40,2026-02-18T21:19:40,24,41.7,TRUE
INC10069,network,P3,Resolved,Load balancer health check failures,STP topology change flooding broadcast domain,Increased NAT translation table to 65k entries,Desktop-Support,ServiceNow,2026-02-17T14:15:09,2026-02-20T12:27:09,24,70.2,TRUE
INC10096,device,P4,Resolved,Screen flickering on docking station,Driver signing enforcement blocking third-party VPN,Created policy exclusion for compliant legacy hardware group,Service-Desk,ServiceNow,2026-02-19T09:45:27,2026-02-20T22:33:27,72,36.8,FALSE
INC10177,network,P1,Resolved,VPN connection dropping intermittently,NAT translation table overflow during peak hours,Increased NAT translation table to 65k entries,Network-Ops,ServiceNow,2026-02-21T01:48:26,2026-02-21T05:00:26,4,3.2,FALSE
INC10175,security,P1,Resolved,Unauthorized S3 bucket access detected,Phishing kit using homograph domain,Renewed certificate via ACME and added renewal alert at 30d,Cloud-Infra,ServiceNow,2026-02-22T01:05:45,2026-02-22T09:23:45,4,8.3,TRUE
INC10021,identity,P3,Resolved,Service account expired — breaking automated jobs,MFA token delivery delay exceeding 30s timeout,Added alternate UPN suffix and resynced affected accounts,Cloud-Infra,ServiceNow,2026-02-22T08:30:22,2026-02-25T05:36:22,24,69.1,TRUE
INC10099,identity,P3,Resolved,Password reset not working for contractor accounts,MFA token delivery delay exceeding 30s timeout,Forced token cache flush via PowerShell + re-enrollment,Cloud-Infra,ServiceNow,2026-02-22T18:17:01,2026-02-23T15:53:01,24,21.6,FALSE
INC10047,identity,P3,Resolved,MFA enrollment failure for new hires,MFA token delivery delay exceeding 30s timeout,Forced token cache flush via PowerShell + re-enrollment,Security-Ops,ServiceNow,2026-02-23T19:52:28,2026-02-25T17:28:28,24,45.6,TRUE
INC10039,application,P3,Resolved,Reports module showing blank screen,Thread pool starvation from synchronous database calls,Refactored synchronous DB calls to async with connection pooling,Desktop-Support,ServiceNow,2026-02-24T08:37:23,2026-02-24T20:43:23,24,12.1,FALSE
INC10118,network,P4,Resolved,Site-to-site tunnel flapping,NAT translation table overflow during peak hours,Aligned MTU to 1400 bytes on MPLS edge router,Cloud-Infra,ServiceNow,2026-02-24T12:10:26,2026-02-26T11:28:26,72,47.3,FALSE
INC10065,network,P3,Resolved,DNS resolution failure for internal hosts,MTU mismatch between MPLS and local LAN,Cleared STP topology by disabling portfast on trunk ports,IAM-Team,ServiceNow,2026-02-24T18:08:39,2026-02-25T07:20:39,24,13.2,FALSE
INC10089,database,P4,Resolved,Dead lock in claims processing workflow,Connection string pointing to old endpoint post-failover,"Added covering index on filter column, rebuilding statistics nightly",Desktop-Support,ServiceNow,2026-02-25T20:18:39,2026-02-26T11:48:39,72,15.5,FALSE
INC10101,database,P2,Resolved,Backup job failing silently,Missing index on high-cardinality filter column,Updated connection string in all services and restarted dependents,Service-Desk,ServiceNow,2026-02-27T07:13:12,2026-02-27T09:25:12,8,2.2,FALSE
INC10067,database,P2,Resolved,Transaction log fill causing backup failures,Replication subscriber falling behind due to locking contention,Updated connection string in all services and restarted dependents,IAM-Team,ServiceNow,2026-02-27T11:41:16,2026-02-27T17:05:16,8,5.4,FALSE
INC10054,application,P4,Resolved,Bulk export job crashing at 50k rows,CORS origin mismatch after frontend domain change,Updated API gateway CORS allowlist with verified origins,Cloud-Infra,ServiceNow,2026-02-27T19:30:16,2026-03-02T02:42:16,72,55.2,FALSE
INC10097,application,P3,Resolved,Policy upload timing out on large files,Redis cache eviction under memory pressure,Implemented SAS token rotation with 15-minute overlap window,DBA-Team,ServiceNow,2026-02-28T04:39:03,2026-03-01T01:15:03,24,20.6,FALSE
INC10176,network,P1,Resolved,Network latency spike on corporate LAN,Phase-2 IPsec proposal mismatch causing tunnel reset,Updated ACL to permit required subnet with audit log,DBA-Team,ServiceNow,2026-03-01T16:36:36,2026-03-01T19:06:36,4,2.5,FALSE
INC10046,database,P4,Resolved,Dead lock in claims processing workflow,Connection string pointing to old endpoint post-failover,"Reduced replication article count, filtered non-critical tables",Cloud-Infra,ServiceNow,2026-03-02T12:03:26,2026-03-05T00:15:26,72,60.2,FALSE
INC10056,security,P3,Resolved,Privileged account used outside maintenance window,Phishing kit using homograph domain,Renewed certificate via ACME and added renewal alert at 30d,DBA-Team,ServiceNow,2026-03-02T20:25:46,2026-03-03T09:07:46,24,12.7,FALSE
INC10035,application,P2,Resolved,API gateway 429 during business hours,App pool recycling mid-request under load,"Increased app pool recycling interval to 4h, added warm-up script",Cloud-Infra,ServiceNow,2026-03-03T13:52:53,2026-03-03T18:28:53,8,4.6,FALSE
INC10008,network,P3,Resolved,Switch port showing CRC errors,Phase-2 IPsec proposal mismatch causing tunnel reset,Cleared STP topology by disabling portfast on trunk ports,Network-Ops,ServiceNow,2026-03-04T03:18:27,2026-03-04T12:06:27,24,8.8,FALSE
INC10091,identity,P3,Resolved,MFA enrollment failure for new hires,UPN suffix mismatch after domain migration,Enabled LDAP referral chasing in directory sync config,Cloud-Infra,ServiceNow,2026-03-07T01:31:27,2026-03-08T11:13:27,24,33.7,TRUE
INC10112,application,P3,Resolved,Reports module showing blank screen,App pool recycling mid-request under load,"Increased app pool recycling interval to 4h, added warm-up script",Security-Ops,ServiceNow,2026-03-07T19:18:20,2026-03-08T13:54:20,24,18.6,FALSE
INC10043,identity,P3,Resolved,User locked out after MFA failure loop,Stale federation metadata not updated after cert rotation,Enabled LDAP referral chasing in directory sync config,Desktop-Support,ServiceNow,2026-03-07T23:23:31,2026-03-08T13:53:31,24,14.5,FALSE
INC10104,application,P2,Resolved,Policy upload timing out on large files,Blob storage SAS token expiry not handled gracefully,"Increased app pool recycling interval to 4h, added warm-up script",IAM-Team,ServiceNow,2026-03-08T10:45:59,2026-03-08T18:21:59,8,7.6,FALSE
INC10033,network,P4,Resolved,VPN connection dropping intermittently,Misconfigured ACL blocking internal subnet,Aligned MTU to 1400 bytes on MPLS edge router,IAM-Team,ServiceNow,2026-03-10T07:22:00,2026-03-13T02:52:00,72,67.5,FALSE
INC10020,application,P1,Resolved,Claims portal returning 502 after deploy,Redis cache eviction under memory pressure,"Increased app pool recycling interval to 4h, added warm-up script",App-Support,ServiceNow,2026-03-10T17:23:20,2026-03-10T18:53:20,4,1.5,FALSE
INC10078,identity,P3,Resolved,User locked out after MFA failure loop,Token cache not cleared after password change,Enabled LDAP referral chasing in directory sync config,Desktop-Support,ServiceNow,2026-03-10T17:48:09,2026-03-11T03:30:09,24,9.7,FALSE
INC10014,network,P1,Resolved,Network latency spike on corporate LAN,Misconfigured ACL blocking internal subnet,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Security-Ops,ServiceNow,2026-03-12T02:35:47,2026-03-12T04:11:47,4,1.6,FALSE
INC10179,identity,P1,Resolved,Federation metadata stale — causing auth failures,MFA token delivery delay exceeding 30s timeout,Refreshed federation metadata XML and restarted ADFS service,DBA-Team,ServiceNow,2026-03-13T03:52:34,2026-03-13T04:58:34,4,1.1,FALSE
INC10040,database,P1,Resolved,Connection string misconfigured post-migration,Autogrow event holding schema lock,"Reduced replication article count, filtered non-critical tables",Desktop-Support,ServiceNow,2026-03-13T12:19:10,2026-03-13T15:25:10,4,3.1,FALSE
INC10120,device,P3,Resolved,VPN client not installing on macOS Sonoma,Driver signing enforcement blocking third-party VPN,Applied safe-OS update workaround per MS KB5034441,Service-Desk,ServiceNow,2026-03-14T03:38:31,2026-03-14T18:08:31,24,14.5,FALSE
INC10064,security,P3,Resolved,Suspicious login from unusual geolocation,SOC alert threshold too low causing false positive storm,Blocked homograph domain at DNS and email gateway,App-Support,ServiceNow,2026-03-15T05:29:26,2026-03-16T19:11:26,24,37.7,TRUE
INC10077,identity,P3,Resolved,SSO redirect loop on claims portal,MFA token delivery delay exceeding 30s timeout,Enabled LDAP referral chasing in directory sync config,App-Support,ServiceNow,2026-03-15T19:24:46,2026-03-16T05:18:46,24,9.9,FALSE
INC10083,application,P4,Resolved,Policy upload timing out on large files,Thread pool starvation from synchronous database calls,Refactored synchronous DB calls to async with connection pooling,Desktop-Support,ServiceNow,2026-03-16T01:18:22,2026-03-20T13:24:22,72,108.1,TRUE
INC10074,application,P3,Resolved,Session timeout too aggressive,Thread pool starvation from synchronous database calls,Increased Redis maxmemory and switched to allkeys-lru policy,DBA-Team,ServiceNow,2026-03-18T23:40:03,2026-03-20T15:28:03,24,39.8,TRUE
INC10049,application,P3,Resolved,Reports module showing blank screen,App pool recycling mid-request under load,Increased Redis maxmemory and switched to allkeys-lru policy,DBA-Team,ServiceNow,2026-03-19T01:32:15,2026-03-19T20:38:15,24,19.1,FALSE
INC10098,database,P3,Resolved,Backup job failing silently,Autogrow event holding schema lock,Scheduled AUTO_UPDATE_STATISTICS after ETL jobs complete,Service-Desk,ServiceNow,2026-03-21T16:01:07,2026-03-24T03:31:07,24,59.5,TRUE
INC10111,database,P4,Resolved,Index fragmentation causing timeouts,Connection string pointing to old endpoint post-failover,"Reduced replication article count, filtered non-critical tables",App-Support,ServiceNow,2026-03-22T20:39:19,2026-03-24T02:33:19,72,29.9,FALSE
INC10025,database,P4,Resolved,Backup job failing silently,Autogrow event holding schema lock,Scheduled AUTO_UPDATE_STATISTICS after ETL jobs complete,Network-Ops,ServiceNow,2026-03-24T09:36:15,2026-03-30T00:24:15,72,134.8,TRUE
INC10051,identity,P3,Resolved,Password reset not working for contractor accounts,UPN suffix mismatch after domain migration,Added alternate UPN suffix and resynced affected accounts,Cloud-Infra,ServiceNow,2026-03-24T12:01:56,2026-03-25T01:01:56,24,13.0,FALSE
INC10103,application,P4,Resolved,Database connection pool exhausted,Blob storage SAS token expiry not handled gracefully,Updated API gateway CORS allowlist with verified origins,Network-Ops,ServiceNow,2026-03-24T18:05:57,2026-03-26T13:17:57,72,43.2,FALSE
INC10080,network,P2,Resolved,BGP route advertisement issue,NAT translation table overflow during peak hours,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Network-Ops,ServiceNow,2026-03-25T15:57:36,2026-03-25T22:27:36,8,6.5,FALSE
INC10003,device,P3,Resolved,USB ports disabled by policy blocking peripherals,Certificate trust chain broken after root CA renewal,Re-issued certificates from renewed root CA and pushed via SCCM,Desktop-Support,ServiceNow,2026-03-26T09:36:59,2026-03-29T00:42:59,24,63.1,TRUE
INC10115,database,P3,Resolved,Transaction log fill causing backup failures,Autogrow event holding schema lock,"Set autogrowth to fixed 1GB increments, pre-allocated space",Cloud-Infra,ServiceNow,2026-03-26T12:10:18,2026-03-26T19:04:18,24,6.9,FALSE
INC10102,network,P2,Resolved,Load balancer health check failures,MTU mismatch between MPLS and local LAN,Aligned MTU to 1400 bytes on MPLS edge router,Cloud-Infra,ServiceNow,2026-03-26T13:25:15,2026-03-26T15:55:15,8,2.5,FALSE
INC10041,security,P2,Resolved,Unauthorized S3 bucket access detected,S3 bucket public-read ACL left from dev environment,Renewed certificate via ACME and added renewal alert at 30d,Security-Ops,ServiceNow,2026-03-26T16:17:45,2026-03-27T08:17:45,8,16.0,TRUE
INC10114,identity,P4,Resolved,AD account disabled despite active status,MFA token delivery delay exceeding 30s timeout,Enabled LDAP referral chasing in directory sync config,Service-Desk,ServiceNow,2026-03-27T02:18:04,2026-03-28T21:24:04,72,43.1,FALSE
INC10016,network,P4,Resolved,Firewall blocking internal traffic,Phase-2 IPsec proposal mismatch causing tunnel reset,Cleared STP topology by disabling portfast on trunk ports,IAM-Team,ServiceNow,2026-03-27T07:34:13,2026-03-29T17:34:13,72,58.0,FALSE
INC10037,application,P2,Resolved,Claims portal returning 502 after deploy,Redis cache eviction under memory pressure,Updated API gateway CORS allowlist with verified origins,Desktop-Support,ServiceNow,2026-03-27T17:47:13,2026-03-27T20:17:13,8,2.5,FALSE
INC10013,application,P2,Resolved,Database connection pool exhausted,App pool recycling mid-request under load,Increased Redis maxmemory and switched to allkeys-lru policy,Cloud-Infra,ServiceNow,2026-03-27T21:42:23,2026-03-28T00:54:23,8,3.2,FALSE
INC10088,device,P3,Resolved,BitLocker recovery key not escrowed,Windows update KB5034441 incompatible with recovery partition,Applied safe-OS update workaround per MS KB5034441,App-Support,ServiceNow,2026-03-28T08:30:19,2026-03-28T19:06:19,24,10.6,FALSE
INC10055,security,P3,Resolved,Data loss prevention alert on email attachment,Certificate not renewed due to expired ACME account,Blocked homograph domain at DNS and email gateway,Security-Ops,ServiceNow,2026-03-29T02:38:47,2026-03-31T20:20:47,24,65.7,TRUE
INC10105,device,P3,Resolved,Laptop cannot connect to Wi-Fi after update,Certificate trust chain broken after root CA renewal,Re-issued certificates from renewed root CA and pushed via SCCM,DBA-Team,ServiceNow,2026-03-29T17:07:50,2026-03-31T10:19:50,24,41.2,TRUE
INC10061,database,P3,Resolved,Slow query degrading reporting performance,Missing index on high-cardinality filter column,Scheduled AUTO_UPDATE_STATISTICS after ETL jobs complete,Desktop-Support,ServiceNow,2026-03-30T01:17:50,2026-03-30T16:17:50,24,15.0,FALSE
INC10082,security,P3,Resolved,Failed brute-force attempts on VPN gateway,Certificate not renewed due to expired ACME account,Tuned SOC alert threshold and added suppression for known IPs,Network-Ops,ServiceNow,2026-03-30T04:58:07,2026-03-31T01:16:07,24,20.3,FALSE
INC10107,application,P2,Resolved,API gateway 429 during business hours,Blob storage SAS token expiry not handled gracefully,Increased Redis maxmemory and switched to allkeys-lru policy,Network-Ops,ServiceNow,2026-03-30T15:02:44,2026-03-30T18:02:44,8,3.0,FALSE
INC10090,device,P3,Resolved,USB ports disabled by policy blocking peripherals,Driver signing enforcement blocking third-party VPN,Applied safe-OS update workaround per MS KB5034441,Service-Desk,ServiceNow,2026-03-30T22:36:15,2026-03-31T21:18:15,24,22.7,FALSE
